Time,CEILT_1,UWALLT_1,LWALLT_1,FLOORT_1,CEILT_2,UWALLT_2,LWALLT_2,FLOORT_2,CEILT_3,UWALLT_3,LWALLT_3,FLOORT_3,CEILT_4,UWALLT_4,LWALLT_4,FLOORT_4,CEILT_5,UWALLT_5,LWALLT_5,FLOORT_5,CEILT_6,UWALLT_6,LWALLT_6,FLOORT_6,CEILT_7,UWALLT_7,LWALLT_7,FLOORT_7,CEILT_8,UWALLT_8,LWALLT_8,FLOORT_8,CEILT_9,UWALLT_9,LWALLT_9,FLOORT_9,CEILT_10,UWALLT_10,LWALLT_10,FLOORT_10,CEILT_11,UWALLT_11,LWALLT_11,FLOORT_11,CEILT_12,UWALLT_12,LWALLT_12,FLOORT_12,CEILT_13,UWALLT_13,LWALLT_13,FLOORT_13,CEILT_14,UWALLT_14,LWALLT_14,FLOORT_14,CEILT_15,UWALLT_15,LWALLT_15,FLOORT_15,CEILT_16,UWALLT_16,LWALLT_16,FLOORT_16,CEILT_17,UWALLT_17,LWALLT_17,FLOORT_17,CEILT_18,UWALLT_18,LWALLT_18,FLOORT_18,CEILT_19,UWALLT_19,LWALLT_19,FLOORT_19
Simulation Time,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature,Ceiling Temperature,Upper Wall Temperature,Lower Wall Temperature,Floor Temperature
Time,r1,r1,r1,r1,r2,r2,r2,r2,c4,c4,c4,c4,r5,r5,r5,r5,r6,r6,r6,r6,r7,r7,r7,r7,r8,r8,r8,r8,r9,r9,r9,r9,r11,r11,r11,r11,r12,r12,r12,r12,r14,r14,r14,r14,r15,r15,r15,r15,r16,r16,r16,r16,r17,r17,r17,r17,r18,r18,r18,r18,c20,c20,c20,c20,s23,s23,s23,s23,s24,s24,s24,s24,s25,s25,s25,s25
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 0.000000E+00, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02, 0.238100E+02                      
 0.100000E+01, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237322E+02, 0.237253E+02, 0.237241E+02, 0.237239E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237219E+02, 0.237220E+02, 0.237219E+02, 0.237219E+02, 0.237218E+02, 0.237218E+02, 0.237218E+02, 0.237218E+02, 0.237214E+02, 0.237211E+02, 0.237208E+02, 0.237210E+02, 0.237217E+02, 0.237217E+02, 0.237217E+02, 0.237217E+02                      
